position,title
Q112354233,ambassador to Belarus
Q112353813,ambassador to Belgium
Q40338224,ambassador to Canada
Q65262237,ambassador to Estonia
Q112326094,ambassador to France
Q112325933,ambassador to Greece
Q92326242,ambassador to Italy
Q112354625,ambassador to Japan
Q92326363,ambassador to Malta
Q30621596,ambassador to the People's Republic of China
Q112326122,ambassador to Poland
Q112354585,ambassador to the Russian Federation
Q52302744,ambassador to Spain
Q92079958,ambassador to the United Kingdom
Q94641851,ambassador to the United States of America
Q112354437,ambassador to the Holy See
